Dates,fit,upr,lwr
2010-03,3.773131,5.400104,2.14615791
2010-04,3.400428,5.701315,1.09954005
2010-05,3.385557,6.203558,0.56755694
2010-06,3.180621,6.434568,-0.07332536
2010-07,4.131007,7.76903,0.4929843
2010-08,4.101046,8.0863,0.11579146
2010-09,3.220395,7.524962,-1.08417145
2010-10,2.860978,7.462754,-1.74079703
2010-11,3.379944,8.260864,-1.50097598
2010-12,3.925227,9.070168,-1.21971414
2011-01,4.031459,9.427519,-1.36460052
2011-02,4.007751,9.643752,-1.62824953
2011-03,3.951233,9.817369,-1.91490258
2011-04,3.57853,9.666106,-2.50904704
2011-05,3.563659,9.8649,-2.73758128
2011-06,3.358723,9.866616,-3.1491701
2011-07,4.309109,11.017292,-2.39907371
2011-08,4.279148,11.181811,-2.62351539
2011-09,3.398497,10.490309,-3.69331505
2011-10,3.03908,10.315126,-4.23696555
2011-11,3.558046,11.013774,-3.89768253
2011-12,4.103329,11.73451,-3.52785218
2012-01,4.209561,12.012251,-3.59312853
2012-02,4.185853,12.156362,-3.78465566
