fit,upr,lwr
3.714917899,3.714917899,3.714917899
3.800116212,3.800116212,3.800116212
3.432282004,3.432282004,3.432282004
3.908340119,3.908340119,3.908340119
4.174418605,4.174418605,4.174418605
5.06387921,5.06387921,5.06387921
6.231934328,6.231934328,6.231934328
6.450500172,6.450500172,6.450500172
5.814747383,5.814747383,5.814747383
5.667234526,5.667234526,5.667234526
6.339468303,6.339468303,6.339468303
6.964103726,6.964103726,6.964103726
7.006512464,7.006512464,7.006512464
6.829377519,6.829377519,6.829377519
6.6367713,6.6367713,6.6367713
6.145751707,6.145751707,6.145751707
5.971648621,5.971648621,5.971648621
5.527304886,5.527304886,5.527304886
4.592947323,4.592947323,4.592947323
4.763447829,4.763447829,4.763447829
4.591891601,4.591891601,4.591891601
4.406706793,4.406706793,4.406706793
4.134615385,4.134615385,4.134615385
3.779377514,3.779377514,3.779377514
3.641133263,3.641133263,3.641133263
3.479354433,3.479354433,3.479354433
3.879310345,3.879310345,3.879310345
4.418898966,4.418898966,4.418898966
4.350115863,4.350115863,4.350115863
4.326419443,4.326419443,4.326419443
4.224765869,4.224765869,4.224765869
4.093205485,4.093205485,4.093205485
3.814517787,3.814517787,3.814517787
4.107473749,4.107473749,4.107473749
3.796039807,3.796039807,3.796039807
3.651943283,3.651943283,3.651943283
3.83719753,3.83719753,3.83719753
4.597933968,4.597933968,4.597933968
5.019734845,5.019734845,5.019734845
4.858095142,4.858095142,4.858095142
4.895528414,4.895528414,4.895528414
5.412189979,5.412189979,5.412189979
7.977236422,7.977236422,7.977236422
8.181458003,8.181458003,8.181458003
7.903337625,7.903337625,7.903337625
7.930386631,7.930386631,7.930386631
8.065632104,8.065632104,8.065632104
8.079913394,8.079913394,8.079913394
8.219578783,8.219578783,8.219578783
7.745933385,7.745933385,7.745933385
7.323889371,7.323889371,7.323889371
7.252937777,7.252937777,7.252937777
7.322940724,7.322940724,7.322940724
6.696513622,6.696513622,6.696513622
4.530744337,4.530744337,4.530744337
3.991942868,3.991942868,3.991942868
4.534189995,4.534189995,4.534189995
4.828218049,4.828218049,4.828218049
6.228848441,6.228848441,6.228848441
8.359133127,8.359133127,8.359133127
6.955581584,6.955581584,6.955581584
6.290438533,6.290438533,6.290438533
6.384124989,6.384124989,6.384124989
6.789402784,6.789402784,6.789402784
7.146059356,7.146059356,7.146059356
7.258280511,7.258280511,7.258280511
7.26227333,7.26227333,7.26227333
7.175559077,7.175559077,7.175559077
6.831152867,6.831152867,6.831152867
6.248907534,6.248907534,6.248907534
4.890649216,4.890649216,4.890649216
3.352941176,3.352941176,3.352941176
4.136130065,4.136130065,4.136130065
4.421711194,4.421711194,4.421711194
4.448008103,4.448008103,4.448008103
3.599360861,3.599360861,3.599360861
3.330543933,3.330543933,3.330543933
3.454303313,3.454303313,3.454303313
3.207982847,3.207982847,3.207982847
2.793066623,2.793066623,2.793066623
3.073888387,3.073888387,3.073888387
3.306736859,3.306736859,3.306736859
3.579051059,3.579051059,3.579051059
3.024636149,3.024636149,3.024636149
3.494580165,3.494580165,3.494580165
3.829649421,3.829649421,3.829649421
3.773131,5.400104,2.14615791
3.400428,5.701315,1.09954005
3.385557,6.203558,0.56755694
3.180621,6.434568,-0.07332536
4.131007,7.76903,0.4929843
4.101046,8.0863,0.11579146
3.220395,7.524962,-1.08417145
2.860978,7.462754,-1.74079703
3.379944,8.260864,-1.50097598
3.925227,9.070168,-1.21971414
4.031459,9.427519,-1.36460052
4.007751,9.643752,-1.62824953
3.951233,9.817369,-1.91490258
3.57853,9.666106,-2.50904704
3.563659,9.8649,-2.73758128
3.358723,9.866616,-3.1491701
4.309109,11.017292,-2.39907371
4.279148,11.181811,-2.62351539
3.398497,10.490309,-3.69331505
3.03908,10.315126,-4.23696555
3.558046,11.013774,-3.89768253
4.103329,11.73451,-3.52785218
4.209561,12.012251,-3.59312853
4.185853,12.156362,-3.78465566
