Dates,fit
2003-01,3.714917899
2003-02,3.800116212
2003-03,3.432282004
2003-04,3.908340119
2003-05,4.174418605
2003-06,5.06387921
2003-07,6.231934328
2003-08,6.450500172
2003-09,5.814747383
2003-10,5.667234526
2003-11,6.339468303
2003-12,6.964103726
2004-01,7.006512464
2004-02,6.829377519
2004-03,6.6367713
2004-04,6.145751707
2004-05,5.971648621
2004-06,5.527304886
2004-07,4.592947323
2004-08,4.763447829
2004-09,4.591891601
2004-10,4.406706793
2004-11,4.134615385
2004-12,3.779377514
2005-01,3.641133263
2005-02,3.479354433
2005-03,3.879310345
2005-04,4.418898966
2005-05,4.350115863
2005-06,4.326419443
2005-07,4.224765869
2005-08,4.093205485
2005-09,3.814517787
2005-10,4.107473749
2005-11,3.796039807
2005-12,3.651943283
2006-01,3.83719753
2006-02,4.597933968
2006-03,5.019734845
2006-04,4.858095142
2006-05,4.895528414
2006-06,5.412189979
2006-07,7.977236422
2006-08,8.181458003
2006-09,7.903337625
2006-10,7.930386631
2006-11,8.065632104
2006-12,8.079913394
2007-01,8.219578783
2007-02,7.745933385
2007-03,7.323889371
2007-04,7.252937777
2007-05,7.322940724
2007-06,6.696513622
2007-07,4.530744337
2007-08,3.991942868
2007-09,4.534189995
2007-10,4.828218049
2007-11,6.228848441
2007-12,8.359133127
2008-01,6.955581584
2008-02,6.290438533
2008-03,6.384124989
2008-04,6.789402784
2008-05,7.146059356
2008-06,7.258280511
2008-07,7.26227333
2008-08,7.175559077
2008-09,6.831152867
2008-10,6.248907534
2008-11,4.890649216
2008-12,3.352941176
2009-01,4.136130065
2009-02,4.421711194
2009-03,4.448008103
2009-04,3.599360861
2009-05,3.330543933
2009-06,3.454303313
2009-07,3.207982847
2009-08,2.793066623
2009-09,3.073888387
2009-10,3.306736859
2009-11,3.579051059
2009-12,3.024636149
2010-01,3.494580165
2010-02,3.829649421
2010-03,3.773131
