Dates,fit
2011-01,9041
2011-02,8917
2011-03,8760
2011-04,8648
2011-05,8562
2011-06,8567
2011-07,8532
2011-08,8537
2011-09,8774
2011-10,8889
2011-11,9009
2011-12,9059
2012-01,9067
2012-02,9020
2012-03,9157
2012-04,9175
2012-05,9320
2012-06,9442
2012-07,9451
2012-08,9508
2012-09,9568
2012-10,9608
2012-11,9633
2012-12,9700
2013-01,9724
2013-02,9678
2013-03,9715
2013-04,9724
2013-05,9765
2013-06,9921
2013-07,10089
2013-08,10605
2013-09,11318
2013-10,11142
2013-11,11615
2013-12,12076
2014-01,12162
2014-02,11922
2014-03,11422
2014-04,11440
2014-05,11534
2014-06,11896
2014-07,11678
2014-08,11711
2014-09,11903
2014-10,12143
2014-11,12170
2014-12,12434
2015-01,12579
2015-02,12765
2015-03,13071
2015-04,12950
2015-05,13126
2015-06,13306
2015-07,13380
2015-08,13793
2015-09,14416
2015-10,13775
2015-11,13679
2015-12,13845
2016-01,13887
2016-02,13510
2016-03,13195
2016-04,13174
2016-05,13423
2016-06,13340
2016-07,13124
2016-08,13159
2016-09,13116
2016-10,13018
2016-11,13319
2016-12,13411
2017-01,13360
2017-02,13336
2017-03,13343
2017-04,13325
