Dates,fit
2002-01,23.42
2002-02,23.38
2002-03,24.2
2002-04,23.18
2002-05,23.43
2002-06,23.25
2002-07,23.48
2002-08,23.17
2002-09,24.04
2002-10,23.03
2002-11,22.77
2002-12,22.44
2003-01,23.9
2003-02,25.3
2003-03,23.44
2003-04,23.77
2003-05,23.07
2003-06,22.86
2003-07,22.28
2003-08,22.8
2003-09,20.44
2003-10,19.01
2003-11,20.39
2003-12,19.43
2004-01,23.79
2004-02,23.32
2004-03,23.49
2004-04,22.46
2004-05,21.68
2004-06,21.08
2004-07,20.7
2004-08,20.72
2004-09,20.78
2004-10,20.44
2004-11,19.77
2004-12,19.42
2005-01,22.35
2005-02,22.09
2005-03,21.75
2005-04,21.21
2005-05,20.03
2005-06,19.51
2005-07,18.45
2005-08,18.94
2005-09,19.43
2005-10,19.44
2005-11,19.69
2005-12,19.3
2006-01,21.66
2006-02,21.28
2006-03,21.84
2006-04,21.53
2006-05,20.8
2006-06,20.47
2006-07,20.71
2006-08,20.83
2006-09,21.01
2006-10,20.82
2006-11,20.99
2006-12,21.27
2007-01,23
2007-02,23.02
2007-03,22.11
2007-04,22.05
2007-05,21.89
2007-06,21.15
2007-07,20.85
2007-08,20.57
2007-09,21.27
2007-10,20.11
2007-11,20.33
2007-12,19.3
2008-01,21.6
2008-02,21
2008-03,20.52
2008-04,19.39
2008-05,18.26
2008-06,17.58
2008-07,17.44
2008-08,17.1
2008-09,17.26
2008-10,16.7
2008-11,16.77
2008-12,16.76
2009-01,17.82
2009-02,18.04
2009-03,18.03
2009-04,17.83
2009-05,17.52
2009-06,18.17
2009-07,17.34
2009-08,17.12
2009-09,17.76
2009-10,17.51
2009-11,17.08
2009-12,17.42
2010-01,18.66
2010-02,19.21
2010-03,18.58
2010-04,18.02
2010-05,17.8
2010-06,17.58
2010-07,16.7
2010-08,16.44
2010-09,16.52
2010-10,16.99
2010-11,16.9
2010-12,17.18
2011-01,17.38
2011-02,18.07
2011-03,17.57
2011-04,17.76
2011-05,17.41
2011-06,17
2011-07,17.24
2011-08,17.29
2011-09,16.63
2011-10,17.15
2011-11,16.61
2011-12,16.05
2012-01,18.41
2012-02,18.41
2012-03,18.28
2012-04,17.97
2012-05,17.87
2012-06,17.49
2012-07,17.28
2012-08,17.29
2012-09,17.41
2012-10,17.31
2012-11,17.44
2012-12,17.43
2013-01,19.31
2013-02,19.29
2013-03,19.08
2013-04,18.74
2013-05,18.68
2013-06,18.08
2013-07,18.08
2013-08,18.02
2013-09,18.11
2013-10,18.48
2013-11,18.72
2013-12,18.13
2014-01,19.91
2014-02,19.91
2014-03,19.77
2014-04,19.33
2014-05,19.48
2014-06,19.45
2014-07,19.39
2014-08,19.7
2014-09,19.53
2014-10,19.63
2014-11,19.77
2014-12,19.57
2015-01,21.01
2015-02,21.26
2015-03,20.98
2015-04,20.79
2015-05,20.51
2015-06,20.28
2015-07,20.78
2015-08,20.73
2015-09,20.62
2015-10,21.05
2015-11,21.33
2015-12,21.39
2016-01,21.75
2016-02,21.93
2016-03,22
2016-04,21.95
2016-05,22.41
2016-06,22.56
2016-07,23.19
2016-08,23.26
2016-09,22.6
2016-10,23.19
2016-11,23.04
2016-12,22.93
2017-01,23.21
