Dates,fit
2011-02,-1.31
2011-03,13.53
2011-04,1.15
2011-05,10.47
2011-06,0.54
2011-07,-5.27
2011-08,7.06
2011-09,-5.92
2011-10,-3.34
2011-11,1.64
2011-12,-0.92
2012-01,-8.83
2012-02,0.8
2012-03,9.91
2012-04,-6.25
2012-05,4.06
2012-06,-8.25
2012-07,4.2
2012-08,-12.7
2012-09,13.18
2012-10,-3.61
2012-11,6.48
2012-12,-5.66
2013-01,-0.12
2013-02,-2.34
2013-03,0.06
2013-04,-1.76
2013-05,9.3
2013-06,-8.52
2013-07,2.23
2013-08,-13.28
2013-09,12.41
2013-10,6.74
2013-11,1.53
2013-12,6.46
2014-01,-14.71
2014-02,1.12
2014-03,3.82
2014-04,-5.92
2014-05,3.72
2014-06,3.95
2014-07,-8.34
2014-08,2.53
2014-09,5.48
2014-10,0.48
2014-11,-11.29
2014-12,7.38
2015-01,-9.41
2015-02,-8.09
2015-03,12.01
2015-04,-3.89
2015-05,-3.16
2015-06,6.43
2015-07,-15.11
2015-08,11
2015-09,-1.09
2015-10,-3.71
2015-11,-8.25
2015-12,7.14
2016-01,-12.05
2016-02,7.93
2016-03,4.4
2016-04,-2.83
2016-05,0.33
2016-06,12.68
2016-07,-26.54
2016-08,33.76
2016-09,-1.41
2016-10,1.39
2016-11,5.97
2016-12,2.41
2017-01,-3.09
2017-02,-6.17
