Dates,fit
2011-01,3534
2011-02,3450
2011-03,3558
2011-04,3749
2011-05,3818
2011-06,3805
2011-07,4026
2011-08,3936
2011-09,3717
2011-10,3600
2011-11,3747
2011-12,3776
2012-01,3931
2012-02,3960
2012-03,4023
2012-04,4162
2012-05,4051
2012-06,3851
2012-07,4045
2012-08,4115
2012-09,4187
2012-10,4310
2012-11,4327
2012-12,4295
2013-01,4403
2013-02,4588
2013-03,4824
2013-04,4959
2013-05,5100
2013-06,4727
2013-07,4631
2013-08,4349
2013-09,4354
2013-10,4496
2013-11,4360
2013-12,4222
2014-01,4354
2014-02,4515
2014-03,4722
2014-04,4869
2014-05,4922
2014-06,4898
2014-07,5033
2014-08,5143
2014-09,5181
2014-10,5017
2014-11,5078
2014-12,5144
2015-01,5221
2015-02,5361
2015-03,5444
2015-04,5398
2015-05,5232
2015-06,4968
2015-07,4857
2015-08,4541
2015-09,4327
2015-10,4517
2015-11,4519
2015-12,4502
2016-01,4521
2016-02,4709
2016-03,4836
2016-04,4853
2016-05,4770
2016-06,4871
2016-07,5166
2016-08,5401
2016-09,5337
2016-10,5406
2016-11,5246
2016-12,5218
2017-01,5295
2017-02,5370
2017-03,5479
2017-04,5654
