Dates,fit
2011-02,-6.44
2011-03,23.29
2011-04,2.78
2011-05,-0.42
2011-06,1.66
2011-07,7.53
2011-08,-6.98
2011-09,0.62
2011-10,2.4
2011-11,-0.9
2011-12,7.03
2012-01,-11.66
2012-02,2.15
2012-03,9.81
2012-04,3.75
2012-05,0.58
2012-06,-1.81
2012-07,-2.23
2012-08,-15.53
2012-09,11.11
2012-10,12.11
2012-11,-1.59
2012-12,-7.99
2013-01,-0.85
2013-02,-0.89
2013-03,-2.78
2013-04,10.59
2013-05,1.2
2013-06,-6.15
2013-07,11.39
2013-08,-25.29
2013-09,19.2
2013-10,1.06
2013-11,-3.35
2013-12,2.02
2014-01,-3.49
2014-02,-7.55
2014-03,5.32
2014-04,11.92
2014-05,-9.13
2014-06,6.28
2014-07,-10.3
2014-08,5.05
2014-09,5.09
2014-10,-1.4
2014-11,-8.39
2014-12,2.8
2015-01,-12.62
2015-02,-8.74
2015-03,9.54
2015-04,0.14
2015-05,-8.02
2015-06,11.75
2015-07,-22.32
2015-08,22.98
2015-09,-6.78
2015-10,-3.89
2015-11,3.7
2015-12,4.84
2016-01,-13.33
2016-02,-2.78
2016-03,11.07
2016-04,-4.32
2016-05,3.02
2016-06,8.57
2016-07,-25.45
2016-08,37.35
2016-09,-8.78
2016-10,1.86
2016-11,10.1
2016-12,0.89
2017-01,-6.37
2017-02,-5.96
