Dates,fit
2009-02,0.21
2009-03,0.22
2009-04,-0.31
2009-05,0.03
2009-06,0.12
2009-07,0.45
2009-08,0.55
2009-09,1.05
2009-10,0.19
2009-11,-0.03
2009-12,0.33
2010-01,0.85
2010-02,0.29
2010-03,-0.13
2010-04,0.15
2010-05,0.29
2010-06,0.97
2010-07,1.57
2010-08,0.76
2010-09,0.44
2010-10,0.05
2010-11,0.6
2010-12,0.92
2011-01,0.89
2011-02,0.13
2011-03,-0.31
2011-04,-0.32
2011-05,0.13
2011-06,0.55
2011-07,0.67
2011-08,0.93
2011-09,0.28
2011-10,-0.12
2011-11,0.34
2011-12,0.57
2012-01,0.75
2012-02,-0.03
2012-03,0.07
2012-04,0.2
2012-05,0.06
2012-06,0.52
2012-07,0.57
2012-08,0.8
2012-09,0.01
2012-10,0.16
2012-11,0.04
2012-12,0.43
2013-01,0.93
2013-02,0.7
2013-03,0.47
2013-04,0.05
2013-05,0.1
2013-06,1.02
2013-07,3.02
2013-08,0.99
2013-09,-0.25
2013-10,0.18
2013-11,0.16
2013-12,0.45
2014-01,1.07
2014-02,0.26
2014-03,0.08
2014-04,-0.02
2014-05,0.16
2014-06,0.43
2014-07,0.93
2014-08,0.47
2014-09,0.27
2014-10,0.47
2014-11,1.5
2014-12,2.46
2015-01,-0.24
2015-02,-0.36
2015-03,0.17
2015-04,0.36
2015-05,0.5
2015-06,0.54
2015-07,0.93
2015-08,0.39
2015-09,-0.05
2015-10,-0.08
2015-11,0.21
2015-12,0.96
2016-01,0.51
2016-02,-0.09
2016-03,0.19
2016-04,-0.45
2016-05,0.24
2016-06,0.66
2016-07,0.69
2016-08,-0.02
2016-09,0.22
2016-10,0.14
2016-11,0.47
2016-12,0.42
2017-01,0.97
2017-02,0.23
2017-03,-0.02
