fit,upr,lwr
25.10309209,25.10309209,25.10309209
24.1919928,24.1919928,24.1919928
24.86859774,24.86859774,24.86859774
25.69349034,25.69349034,25.69349034
26.28688837,26.28688837,26.28688837
25.74055688,25.74055688,25.74055688
25.15769945,25.15769945,25.15769945
23.5790964,23.5790964,23.5790964
22.92035824,22.92035824,22.92035824
22.75173211,22.75173211,22.75173211
22.3177364,22.3177364,22.3177364
23.0794893,23.0794893,23.0794893
23.06619771,23.06619771,23.06619771
23.40812777,23.40812777,23.40812777
22.16057611,22.16057611,22.16057611
21.88012377,21.88012377,21.88012377
21.01014486,21.01014486,21.01014486
20.63988892,20.63988892,20.63988892
22.30730179,22.30730179,22.30730179
22.17554894,22.17554894,22.17554894
23.13805446,23.13805446,23.13805446
22.20711392,22.20711392,22.20711392
22.17388655,22.17388655,22.17388655
21.60420021,21.60420021,21.60420021
21.21457376,21.21457376,21.21457376
20.19713073,20.19713073,20.19713073
19.45285809,19.45285809,19.45285809
19.01878583,19.01878583,19.01878583
17.85885585,17.85885585,17.85885585
17.20237406,17.20237406,17.20237406
15.68633873,15.68633873,15.68633873
14.04972043,14.04972043,14.04972043
13.1571906,13.1571906,13.1571906
12.6158238,12.6158238,12.6158238
11.89078249,11.89078249,11.89078249
11.58363483,11.58363483,11.58363483
11.54545353,11.54545353,11.54545353
12.1752754,12.1752754,12.1752754
11.27862275,11.27862275,11.27862275
10.41905777,10.41905777,10.41905777
10.40166036,10.40166036,10.40166036
10.37673458,10.37673458,10.37673458
9.691306733,9.691306733,9.691306733
10.94597134,10.94597134,10.94597134
11.09675685,11.09675685,11.09675685
10.26869424,10.26869424,10.26869424
9.842513183,9.842513183,9.842513183
10.43995268,10.43995268,10.43995268
9.58601664,9.58601664,9.58601664
8.244625569,8.244625569,8.244625569
8.711641625,8.711641625,8.711641625
7.951822175,7.951822175,7.951822175
8.339372056,8.339372056,8.339372056
8.888678959,8.888678959,8.888678959
7.739055773,7.739055773,7.739055773
6.827464079,6.827464079,6.827464079
6.467711073,6.467711073,6.467711073
7.44445962,7.44445962,7.44445962
8.462735597,8.462735597,8.462735597
7.86835406,7.86835406,7.86835406
8.284012538,8.284012538,8.284012538
8.129621,10.29515,5.9640936
8.18371,10.79655,5.5708728
7.456859,10.4513,4.4624163
7.182907,10.5159,3.8499174
6.767702,10.40821,3.1271907
6.231477,10.15578,2.3071698
6.405446,10.59465,2.2162433
6.384768,10.82335,1.9461848
6.273195,10.94813,1.5982623
6.006753,10.90689,1.1066161
5.685144,10.80081,0.5694764
5.721288,11.04399,0.3985865
5.566897,11.31692,-0.183124
5.620985,11.55635,-0.3143818
4.894135,11.00943,-1.2211581
4.620183,10.91045,-1.6700801
4.204977,10.66566,-2.255703
3.668753,10.29565,-2.9581438
3.842722,10.63194,-2.946498
3.822044,10.76997,-3.1258794
3.710471,10.81372,-3.3927792
3.444029,10.69945,-3.8113877
3.12242,10.52704,-4.2821976
3.158564,10.70959,-4.3924659
