Dates,fit
2011-02,1.6
2011-03,2.31
2011-04,1.58
2011-05,2.49
2011-06,3.24
2011-07,1.17
2011-08,2.94
2011-09,2.35
2011-10,1.29
2011-11,2.13
2011-12,2.28
2012-01,-0.72
2012-02,0.86
2012-03,2.87
2012-04,2.25
2012-05,2.97
2012-06,2.8
2012-07,0.7
2012-08,1.64
2012-09,1.8
2012-10,1.15
2012-11,1.77
2012-12,2.92
2013-01,-0.73
2013-02,1.14
2013-03,1.83
2013-04,2.02
2013-05,2.24
2013-06,2.48
2013-07,2.1
2013-08,1.53
2013-09,2.6
2013-10,0.39
2013-11,1.74
2013-12,2.44
2014-01,-1.05
2014-02,0.29
2014-03,1.2
2014-04,1.65
2014-05,1.24
2014-06,1.91
2014-07,0.77
2014-08,0.1
2014-09,1.8
2014-10,-0.09
2014-11,1.08
2014-12,2.16
2015-01,-1.08
2015-02,0.85
2015-03,0.39
2015-04,0.86
2015-05,1.23
2015-06,1.89
2015-07,0.15
2015-08,1.24
2015-09,1.94
2015-10,-0.84
2015-11,0.69
2015-12,2.72
2016-01,-1.85
2016-02,-0.38
2016-03,0.82
2016-04,0.16
2016-05,1.59
2016-06,2.4
2016-07,-0.91
2016-08,0.38
2016-09,1.59
2016-10,0.07
2016-11,1.65
2016-12,2.15
2017-01,-1.47
