fit,upr,lwr
17.22313638,17.22313638,17.22313638
18.1663609,18.1663609,18.1663609
18.6880358,18.6880358,18.6880358
14.92287511,14.92287511,14.92287511
17.38609139,17.38609139,17.38609139
18.48532003,18.48532003,18.48532003
20.21853875,20.21853875,20.21853875
18.6718155,18.6718155,18.6718155
17.38020372,17.38020372,17.38020372
16.09454608,16.09454608,16.09454608
16.30438421,16.30438421,16.30438421
18.56911917,18.56911917,18.56911917
13.51813891,13.51813891,13.51813891
11.53260542,11.53260542,11.53260542
11.40900302,11.40900302,11.40900302
12.95176964,12.95176964,12.95176964
10.65629892,10.65629892,10.65629892
8.750233764,8.750233764,8.750233764
10.15245496,10.15245496,10.15245496
10.58765283,10.58765283,10.58765283
11.17079615,11.17079615,11.17079615
12.77877899,12.77877899,12.77877899
13.03691481,13.03691481,13.03691481
12.03845691,12.03845691,12.03845691
12.53427837,12.53427837,12.53427837
14.17923444,14.17923444,14.17923444
13.80049776,13.80049776,13.80049776
15.31791337,15.31791337,15.31791337
17.49487768,17.49487768,17.49487768
17.11653829,17.11653829,17.11653829
16.10378457,16.10378457,16.10378457
15.09854844,15.09854844,15.09854844
15.54130882,15.54130882,15.54130882
13.11730851,13.11730851,13.11730851
15.69786785,15.69786785,15.69786785
17.26010917,17.26010917,17.26010917
16.3685838,16.3685838,16.3685838
16.01427332,16.01427332,16.01427332
16.30888175,16.30888175,16.30888175
16.51499008,16.51499008,16.51499008
17.16676673,17.16676673,17.16676673
17.75087173,17.75087173,17.75087173
18.7880835,18.7880835,18.7880835
20.24176805,20.24176805,20.24176805
20.87722388,20.87722388,20.87722388
20.91225408,20.91225408,20.91225408
19.11753925,19.11753925,19.11753925
17.84065133,17.84065133,17.84065133
18.24222468,18.24222468,18.24222468
18.07235163,18.07235163,18.07235163
17.4238644,17.4238644,17.4238644
14.8554855,14.8554855,14.8554855
14.49437264,14.49437264,14.49437264
15.11070442,15.11070442,15.11070442
14.10096981,14.10096981,14.10096981
14.81483607,14.81483607,14.81483607
14.5133572,14.5133572,14.5133572
11.90102988,11.90102988,11.90102988
14.78762199,14.78762199,14.78762199
13.38320172,13.38320172,13.38320172
14.67100505,14.67100505,14.67100505
13.13027599,13.13027599,13.13027599
12.81832837,12.81832837,12.81832837
12.87738986,12.87738986,12.87738986
11.73401258,11.73401258,11.73401258
10.81081395,10.81081395,10.81081395
9.932241193,9.932241193,9.932241193
10.73972137,10.73972137,10.73972137
10.35081139,10.35081139,10.35081139
13.02472284,13.02472284,13.02472284
10.86056999,10.86056999,10.86056999
10.9667085,10.9667085,10.9667085
11.88773844,11.88773844,11.88773844
12.51428208,12.51428208,12.51428208
12.74060744,12.74060744,12.74060744
11.87951944,11.87951944,11.87951944
14.30522083,14.30522083,14.30522083
16.0399641,16.0399641,16.0399641
16.25806087,16.25806087,16.25806087
14.88033939,14.88033939,14.88033939
13.4202587,13.4202587,13.4202587
12.98197779,12.98197779,12.98197779
12.49677639,12.49677639,12.49677639
13.31692784,13.31692784,13.31692784
12.4298823,12.4298823,12.4298823
10.40105274,10.40105274,10.40105274
9.214745885,9.214745885,9.214745885
8.947695082,8.947695082,8.947695082
7.749673327,7.749673327,7.749673327
7.202930244,7.202930244,7.202930244
7.430157631,7.430157631,7.430157631
7.16060445,7.16060445,7.16060445
7.594788141,7.594788141,7.594788141
8.687014518,8.687014518,8.687014518
8.167266954,8.167266954,8.167266954
7.764192736,7.764192736,7.764192736
5.079790378,5.079790378,5.079790378
7.54883898,7.54883898,7.54883898
9.350767132,9.350767132,9.350767132
10.07828586,10.07828586,10.07828586
9.25998,13.25729,5.2626663
9.372504,14.24406,4.5009482
9.270727,14.9197,3.6217563
9.248115,15.61414,2.882086
9.669431,16.71143,2.627432
10.454661,18.14313,2.7661942
10.048286,18.36129,1.7352849
10.31318,19.23403,1.3923332
9.633399,19.1492,0.1176002
10.324429,20.42513,0.2237312
9.768001,20.44573,-0.9097277
8.818083,20.06669,-2.4305227
7.999777,20.26988,-4.2703258
8.112301,20.92486,-4.7002578
8.010524,21.36453,-5.3434797
7.987911,21.88288,-5.9070535
8.409228,22.84512,-6.0266618
9.194458,24.17162,-5.7827034
8.788083,24.30719,-6.7310264
9.052977,25.115,-7.0090419
8.373196,24.97933,-8.2329413
9.064226,26.21591,-8.087454
8.507797,26.20663,-9.1910394
7.55788,25.80565,-10.6898935
