Dates,fit
2007-10,1.12
2007-11,1.68
2007-12,5.78
2008-01,-3.22
2008-02,0.45
2008-03,-0.58
2008-04,1.09
2008-05,1.86
2008-06,3.76
2008-07,-1.02
2008-08,-0.19
2008-09,5.66
2008-10,1.93
2008-11,2.13
2008-12,2.42
2009-01,-1.14
2009-02,1.39
2009-03,0.87
2009-04,-0.22
2009-05,0.76
2009-06,2.62
2009-07,-0.84
2009-08,1.75
2009-09,1.16
2009-10,0.15
2009-11,2.01
2009-12,3.84
2010-01,-3.15
2010-02,-0.36
2010-03,2.17
2010-04,0.18
2010-05,1.29
2010-06,4.1
2010-07,-0.61
2010-08,0.85
2010-09,1.61
2010-10,1.61
2010-11,1.67
2010-12,5.22
2011-01,-1.33
2011-02,-0.68
2011-03,1.29
2011-04,-0.69
2011-05,1.68
2011-06,1.92
2011-07,1.66
2011-08,2.21
2011-09,0.84
2011-10,1.3
2011-11,1.93
2011-12,5.41
2012-01,-0.77
2012-02,-0.18
2012-03,2.18
2012-04,0.53
2012-05,2.21
2012-06,1.95
2012-07,0.15
2012-08,1.12
2012-09,1.18
2012-10,1.16
2012-11,1.37
2012-12,3.1
2013-01,-1.09
2013-02,0.36
2013-03,1.28
2013-04,1.16
2013-05,1.95
2013-06,-0.38
2013-07,2.73
2013-08,-0.12
2013-09,2.33
2013-10,-0.2
2013-11,1.09
2013-12,3.16
2014-01,-2.09
2014-02,-0.47
2014-03,0.48
2014-04,1.9
2014-05,1.59
2014-06,2.04
2014-07,0.76
2014-08,-0.02
2014-09,3.18
2014-10,0.36
2014-11,1.3
2014-12,2.37
2015-01,0.04
2015-02,1.04
2015-03,0.67
2015-04,0.69
2015-05,0.3
2015-06,1.64
2015-07,0.33
2015-08,0.71
2015-09,2.37
2015-10,-1.45
2015-11,0.21
2015-12,2.12
2016-01,-1.06
2016-02,0.52
2016-03,0.88
2016-04,0.44
2016-05,0.7
2016-06,2.67
2016-07,-0.15
2016-08,0.33
2016-09,-0.18
2016-10,0.86
2016-11,1.89
2016-12,2.8
