Dates,fit
2003-01,4.31
2003-02,4.2
2003-03,4.29
2003-04,4.34
2003-05,4.36
2003-06,4.41
2003-07,4.48
2003-08,4.54
2003-09,4.63
2003-10,4.73
2003-11,4.74
2003-12,4.64
2004-01,5.79
2004-02,5.69
2004-03,5.89
2004-04,5.89
2004-05,5.85
2004-06,5.83
2004-07,5.83
2004-08,5.81
2004-09,5.79
2004-10,5.81
2004-11,5.83
2004-12,6.4
2005-01,5.92
2005-02,5.7
2005-03,5.81
2005-04,5.81
2005-05,5.73
2005-06,5.75
2005-07,5.7
2005-08,5.68
2005-09,5.65
2005-10,5.64
2005-11,5.64
2005-12,5.63
2006-01,6.16
2006-02,5.56
2006-03,5.7
2006-04,5.7
2006-05,5.78
2006-06,5.88
2006-07,5.83
2006-08,5.88
2006-09,5.78
2006-10,5.79
2006-11,5.79
2006-12,5.8
2007-01,6.07
2007-02,5.83
2007-03,5.83
2007-04,5.81
2007-05,5.83
2007-06,5.76
2007-07,5.81
2007-08,5.78
2007-09,5.75
2007-10,5.72
2007-11,5.7
2007-12,5.7
2008-01,5.7
2008-02,5.56
2008-03,5.64
2008-04,5.6
2008-05,5.6
2008-06,5.65
2008-07,5.69
2008-08,5.73
2008-09,5.73
2008-10,5.69
2008-11,5.65
2008-12,5.66
2009-01,5.56
2009-02,5.36
2009-03,5.5
2009-04,5.51
2009-05,5.54
2009-06,5.55
2009-07,5.56
2009-08,5.55
2009-09,5.49
2009-10,5.55
2009-11,5.54
2009-12,5.56
2010-01,6.18
2010-02,5.88
2010-03,5.84
2010-04,5.83
2010-05,5.79
2010-06,5.8
2010-07,5.78
2010-08,5.77
2010-09,5.75
2010-10,5.73
2010-11,5.74
2010-12,5.73
2011-01,5.59
2011-02,5.53
2011-03,5.88
2011-04,5.84
2011-05,5.76
2011-06,5.79
2011-07,5.84
2011-08,5.89
2011-09,5.95
2011-10,5.95
2011-11,5.91
2011-12,5.91
2012-01,6.06
2012-02,5.4
2012-03,5.15
2012-04,5.31
2012-05,5.33
2012-06,5.38
2012-07,5.41
2012-08,5.43
2012-09,5.45
2012-10,5.48
2012-11,5.48
2012-12,5.49
2013-01,5.53
2013-02,5.34
2013-03,5.41
2013-04,5.42
2013-05,5.41
2013-06,5.43
2013-07,5.46
2013-08,5.46
2013-09,5.48
2013-10,5.5
2013-11,4.88
2013-12,4.89
2014-01,4.17
2014-02,4.18
2014-03,4.28
2014-04,4.26
2014-05,4.22
2014-06,4.22
2014-07,4.2
2014-08,4.21
2014-09,4.21
2014-10,4.24
2014-11,4.24
2014-12,4.23
2015-01,4.24
2015-02,4.06
2015-03,5.3
2015-04,5.3
2015-05,5.33
2015-06,5.32
2015-07,5.32
2015-08,5.32
2015-09,5.32
2015-10,5.34
2015-11,5.35
2015-12,5.39
2016-01,5.63
2016-02,5.47
2016-03,5.55
2016-04,5.56
2016-05,5.6
2016-06,5.59
2016-07,5.59
2016-08,5.59
2016-09,5.65
2016-10,5.65
2016-11,5.62
2016-12,5.63
2017-01,5.39
