Dates,fit
2011-01,2.63
2011-02,2.78
2011-03,2.81
2011-04,2.85
2011-05,2.92
2011-06,2.74
2011-07,2.76
2011-08,2.77
2011-09,2.67
2011-10,2.58
2011-11,2.5
2011-12,2.17
2012-01,2.36
2012-02,2.33
2012-03,2.29
2012-04,2.3
2012-05,2.26
2012-06,2.18
2012-07,2.19
2012-08,2.21
2012-09,2.07
2012-10,2.15
2012-11,2.02
2012-12,1.87
2013-01,2.01
2013-02,2.03
2013-03,1.97
2013-04,1.96
2013-05,1.95
2013-06,1.88
2013-07,1.87
2013-08,1.94
2013-09,1.86
2013-10,1.91
2013-11,1.88
2013-12,1.77
2014-01,1.9
2014-02,1.99
2014-03,2
2014-04,2.05
2014-05,2.18
2014-06,2.16
2014-07,2.24
2014-08,2.31
2014-09,2.29
2014-10,2.35
2014-11,2.36
2014-12,2.16
2015-01,2.37
2015-02,2.43
2015-03,2.4
2015-04,2.48
2015-05,2.58
2015-06,2.56
2015-07,2.7
2015-08,2.76
2015-09,2.71
2015-10,2.68
2015-11,2.66
2015-12,2.49
2016-01,2.73
2016-02,2.87
2016-03,2.83
2016-04,2.93
2016-05,3.11
2016-06,3.05
2016-07,3.18
2016-08,3.22
2016-09,3.1
2016-10,3.22
2016-11,3.18
2016-12,2.93
2017-01,3.09
